Algorithm: LRU
304C (4D4C): 00(0)
B136 (4E36): 2C(44)
C505 (4105): 00(0)
8F43 (4F43): D0(-48)
D856 (2D56): 36(54)
2E46 (5046): 0B(11)
BFE7 (60E7): F9(-7)
4DBC (13BC): 00(0)
504A (234A): 14(20)
4B13 (3E13): C4(-60)
C91B (511B): 46(70)
E2EA (52EA): 38(56)
98A2 (48A2): 26(38)
3EBC (6CBC): 00(0)
28CF (53CF): 33(51)
D399 (6E99): 00(0)
509A (239A): 14(20)
E0D3 (54D3): 34(52)
EF1A (551A): 3B(59)
010D (240D): 00(0)
8182 (7982): 20(32)
FBE7 (56E7): F9(-7)
EF27 (5527): C9(-55)
B8BC (28BC): 00(0)
555C (575C): 00(0)
14A1 (35A1): 00(0)
B358 (6458): 00(0)
7F14 (5C14): 00(0)
F65B (585B): 96(-106)
A2D3 (45D3): B4(-76)
51F5 (59F5): 00(0)
8459 (5A59): 00(0)
A339 (5B39): 00(0)
11E4 (36E4): 00(0)
A1AD (5CAD): 00(0)
6F9C (7A9C): 00(0)
030E (5D0E): 00(0)
7641 (3C41): 00(0)
F33B (653B): CE(-50)
4602 (7F02): 11(17)
F706 (2606): 3D(61)
0CEC (2EEC): 00(0)
67B1 (11B1): 00(0)
AD6B (5E6B): 5A(90)
98D0 (48D0): 00(0)
54CA (72CA): 15(21)
1BE8 (5FE8): 00(0)
7624 (3C24): 00(0)
0E8D (608D): 00(0)
D568 (6168): 00(0)
776E (626E): 1D(29)
2119 (6319): 00(0)
3062 (4D62): 0C(12)
A09A (0C9A): 28(40)
E24A (524A): 38(56)
3BED (15ED): 00(0)
3CEE (10EE): 0F(15)
EA12 (6412): 3A(58)
4732 (6532): 11(17)
BC22 (6622): 2F(47)
A122 (5C22): 28(40)
05E8 (6BE8): 00(0)
09F2 (1DF2): 02(2)
A2D2 (45D2): 28(40)
0142 (2442): 00(0)
0370 (5D70): 00(0)
519B (599B): 66(102)
DD1C (671C): 00(0)
9CE6 (68E6): 27(39)
68A7 (69A7): 29(41)
AE10 (6A10): 00(0)
972A (6B2A): 25(37)
FA7F (6C7F): 9F(-97)
3AB4 (6DB4): 00(0)
970D (6B0D): 00(0)
B245 (6E45): 00(0)
A88F (718F): 23(35)
24F9 (1AF9): 00(0)
09C2 (1DC2): 02(2)
369A (6F9A): 0D(13)
3FC6 (18C6): 0F(15)
C8F2 (14F2): 32(50)
881D (121D): 00(0)
F8B3 (70B3): 2C(44)
99CA (0ECA): 26(38)
D977 (7177): 5D(93)
FBF0 (56F0): 00(0)
1E57 (2C57): 95(-107)
188B (728B): 22(34)
DA4C (734C): 00(0)
EEAF (74AF): AB(-85)
27C8 (75C8): 00(0)
9A77 (7677): 9D(-99)
2553 (4653): 54(84)
368B (6F8B): A2(-94)
E65F (775F): 97(-105)
4C51 (7851): 00(0)
17D5 (19D5): 00(0)
A1CD (5CCD): 00(0)
B1BE (4EBE): 2C(44)
7290 (7990): 00(0)
1FD5 (34D5): 00(0)
636A (7A6A): 18(24)
E640 (7740): 00(0)
C5EA (41EA): 31(49)
5A2C (222C): 00(0)
8E74 (4774): 00(0)
836D (7B6D): 00(0)
61AA (7CAA): 18(24)
D1D3 (7DD3): 74(116)
EB0D (2B0D): 00(0)
B512 (7E12): 2D(45)
1264 (3764): 00(0)
6E30 (1C30): 00(0)
E5DC (0ADC): 00(0)
569D (219D): 00(0)
2157 (6357): 55(85)
A515 (7F15): 00(0)
73F7 (00F7): FD(-3)
93A7 (01A7): E9(-23)
5826 (0226): 16(22)
F438 (4B38): 00(0)
1002 (0302): 04(4)
BB7F (177F): DF(-33)
C1FC (04FC): 00(0)
90C7 (07C7): 31(49)
A380 (5B80): 00(0)
1529 (0529): 00(0)
BED8 (3FD8): 00(0)
29BA (06BA): 0A(10)
5762 (2062): 15(21)
F731 (2631): 00(0)
F3F4 (07F4): 00(0)
C564 (4164): 00(0)
233E (083E): 08(8)
E7A4 (09A4): 00(0)
E524 (0A24): 00(0)
DC51 (0A51): 00(0)
2146 (6346): 08(8)
F65A (585A): 3D(61)
F712 (2612): 3D(61)
BDD0 (0BD0): 00(0)
7063 (0C63): 18(24)
9329 (0129): 00(0)
ED68 (0D68): 00(0)
DC76 (0A76): 37(55)
EC08 (3008): 00(0)
9C39 (6839): 00(0)
DAC4 (73C4): 00(0)
E67A (777A): 39(57)
84BE (5ABE): 21(33)
639A (7A9A): 18(24)
DED7 (0ED7): B5(-75)
0579 (0F79): 00(0)
3B1A (151A): 0E(14)
A7D0 (10D0): 00(0)
F183 (1183): 60(96)
7EBA (12BA): 1F(31)
FB30 (5630): 00(0)
7641 (3C41): 00(0)
94C2 (13C2): 25(37)
5784 (2084): 00(0)
0EE0 (60E0): 00(0)
41F3 (14F3): 7C(124)
5A47 (2247): 91(-111)
F3D1 (07D1): 00(0)
EBCC (2BCC): 00(0)
11BE (36BE): 04(4)
39ED (15ED): 00(0)
AFA4 (16A4): 00(0)
8484 (5A84): 00(0)
085D (4C5D): 00(0)
4B2D (3E2D): 00(0)
B840 (2840): 00(0)
5DF0 (17F0): 00(0)
03FE (5DFE): 00(0)
5A23 (2223): 88(-120)
6138 (7C38): 00(0)
C05F (405F): 17(23)
1324 (1824): 00(0)
5880 (0280): 00(0)
8545 (1945): 00(0)
D903 (7103): 40(64)
BF33 (1A33): CC(-52)
E88D (1B8D): 00(0)
5340 (1C40): 00(0)
53A7 (1CA7): E9(-23)
032D (5D2D): 00(0)
4BDB (3EDB): F6(-10)
07CF (25CF): F3(-13)
4EBB (1DBB): AE(-82)
5411 (1E11): 00(0)
3566 (1F66): 0D(13)
4B59 (3E59): 00(0)
E473 (3C73): 9C(-100)
A166 (5C66): 28(40)
3F17 (2017): C5(-59)
352B (1F2B): 4A(74)
540A (1E0A): 15(21)
34BB (21BB): 2E(46)
B20F (6E0F): 83(-125)
BF75 (1A75): 00(0)
FD4B (224B): 52(82)
F7FD (26FD): 00(0)
9729 (6B29): 00(0)
E734 (0934): 00(0)
6011 (2311): 00(0)
E129 (2429): 00(0)
8EAC (47AC): 00(0)
DE94 (0E94): 00(0)
8FCA (4FCA): 23(35)
17D0 (25D0): 00(0)
2B3E (333E): 0A(10)
EADC (64DC): 00(0)
92C8 (26C8): 00(0)
3AF8 (6DF8): 00(0)
B0BF (27BF): 2F(47)
800F (2A0F): 03(3)
E416 (3C16): 1D(29)
EDC9 (0DC9): 00(0)
5CA7 (28A7): 29(41)
5F41 (2941): 00(0)
5723 (2A23): C8(-56)
43DF (2BDF): F7(-9)
3E76 (2C76): 0F(15)
502E (2D2E): 14(20)
6530 (2E30): 00(0)
A4F0 (2FF0): 00(0)
245F (305F): 17(23)
1EB6 (31B6): 07(7)
0EFB (60FB): BE(-66)
7747 (6247): D1(-47)
FE9B (329B): A6(-90)
E02B (542B): 0A(10)
F85B (705B): 16(22)
1352 (1852): 04(4)
234D (084D): 00(0)
EE69 (7469): 00(0)
D8F7 (33F7): 3D(61)
C4B9 (49B9): 00(0)
1950 (3450): 00(0)
36DA (6FDA): 0D(13)
541B (1E1B): 06(6)
991B (351B): 46(70)
9287 (2687): A1(-95)
5C90 (2890): 00(0)
6B30 (3630): 00(0)
6E29 (3729): 00(0)
5A20 (3820): 00(0)
1E86 (3186): 07(7)
1998 (3498): 00(0)
AA75 (3975): 00(0)
8929 (3A29): 00(0)
884A (3B4A): 22(34)
EF71 (5571): 00(0)
B241 (6E41): 00(0)
EFF7 (55F7): FD(-3)
B3D0 (3CD0): 00(0)
4956 (3D56): 12(18)
F60F (580F): 83(-125)
6D9B (3E9B): 66(102)
899D (3A9D): 00(0)
C81E (3F1E): 32(50)
3845 (4045): 00(0)
CC12 (4112): 33(51)
A891 (4291): 00(0)
0A95 (4395): 00(0)
BB5B (445B): D6(-42)
904F (454F): 13(19)
D332 (4632): 34(52)
